iter|name|node_count|sparsity|distribution_name|mean|std|skewness|execution_time|Deltas|deltas
17|cs|50|0.2|normal|50|30|0|0.01697993278503418|[32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 8, 8, 8, 8, 8, 8, 8, 8, 4, 4, 4, 4, 2, 2, 2, 1, 1, 1, 1, 1]|[43.0, 74.0, 74.0, 55.0, 39.0, 68.0, 43.0, 35.0, 40.0, 55.0, 41.0, 49.0, 33.0, 49.0, 58.0, 34.0, 48.0, 78.0, 32.0, 38.0, 40.0, 39.0, 36.0, 48.0, 40.0, 51.0, 60.0, 47.0, 51.0, 41.0, 42.0, 35.0, 70.0, 34.0, 52.0, 72.0, False, 24.0, 23.0, 17.0, 16.0, 17.0, 22.0, 18.0, 19.0, 17.0, 16.0, 16.0, False, 10.0, 11.0, 12.0, 12.0, 9.0, 9.0, 12.0, False, 5.0, 4.0, 6.0, False, 2.0, 2.0, False, 1.0, 1.0, 1.0, 1.0, False]
18|ff|50|0.4|normal|50|30|-10|0.013962745666503906|[15.0, 38.0, 18.0, 37.0, 5.0, 1.0, 12.0, 4.0, 4.0, 27.0, 25.0, 5.0, 26.0, 11.0, 2.0, 40.0, 4.0, 3.0, 24.0, 30.0, 3.0, 6.0, 17.0, 2.0, 12.0, 1.0, 8.0, 15.0, 7.0, 1.0, 10.0, 5.0, 2.0, 6.0, 3.0, 20.0, 5.0, 10.0, 22.0, 6.0, 9.0, 23.0, 3.0, 20.0, 3.0, 17.0, 8.0, 1.0, 6.0, 3.0, 7.0, 15.0, 8.0, 2.0, 2.0, 3.0, 17.0, 1.0, 27.0, 3.0, 19.0, 4.0, 5.0, 1.0, 6.0, 45.0, 11.0, 3.0, 4.0, 2.0, 28.0, 2.0, 15.0, 6.0, 3.0, 2.0, 7.0, 2.0, 10.0, 2.0, 21.0, 10.0, False]|None
18|cs|50|0.4|normal|50|30|-10|0.011974811553955078|[16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 4, 4, 4, 4, 4, 4, 4, 4, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1]|[38.0, 18.0, 37.0, 20.0, 30.0, 26.0, 19.0, 16.0, 27.0, 25.0, 18.0, 22.0, 16.0, 16.0, 16.0, 32.0, 17.0, 16.0, 16.0, 40.0, 20.0, 26.0, 19.0, 27.0, 45.0, 22.0, 16.0, 16.0, 28.0, 22.0, False, 15.0, 8.0, 8.0, 8.0, 9.0, 15.0, 11.0, 12.0, 15.0, 8.0, 14.0, False, 4.0, 4.0, 5.0, 5.0, 4.0, 6.0, 4.0, False, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, False, 1.0, 1.0, 1.0, 1.0, False]
19|ff|50|0.4|normal|50|30|10|0.013952493667602539|[53.0, 60.0, 3.0, 50.0, 20.0, 12.0, 46.0, 61.0, 59.0, 36.0, 45.0, 53.0, 19.0, 1.0, 63.0, 18.0, 51.0, 68.0, 18.0, 11.0, 73.0, 53.0, 30.0, 55.0, 73.0, 17.0, 64.0, 3.0, 57.0, 2.0, 8.0, 79.0, 12.0, 8.0, 28.0, 2.0, 16.0, 46.0, 2.0, 11.0, 57.0, 65.0, 54.0, 22.0, 2.0, 10.0, 11.0, 26.0, 5.0, 5.0, 81.0, 9.0, 82.0, 23.0, 49.0, 6.0, 9.0, 9.0, 51.0, 21.0, 1.0, 68.0, 22.0, 21.0, 24.0, 48.0, 12.0, 16.0, 10.0, 22.0, False]|None
19|cs|50|0.4|normal|50|30|10|0.012964725494384766|[32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 8, 8, 8, 8, 4, 4, 4, 4, 2, 2, 1, 1, 1, 1]|[53.0, 60.0, 50.0, 58.0, 61.0, 59.0, 39.0, 42.0, 53.0, 63.0, 51.0, 49.0, 73.0, 79.0, 54.0, 62.0, 64.0, 57.0, 74.0, 68.0, 57.0, 84.0, 53.0, 81.0, 82.0, 68.0, 55.0, 47.0, 70.0, 68.0, 43.0, 54.0, 54.0, False, 16.0, 20.0, 16.0, 17.0, 17.0, 26.0, 22.0, 20.0, 30.0, False, 14.0, 12.0, 12.0, False, 4.0, 6.0, 5.0, False, 2.0, False, 1.0, 1.0, 1.0, False]
20|ff|50|0.4|normal|50|30|0|0.013972043991088867|[8.0, 17.0, 19.0, 44.0, 27.0, 1.0, 2.0, 45.0, 36.0, 10.0, 9.0, 4.0, 46.0, 17.0, 30.0, 33.0, 64.0, 28.0, 23.0, 28.0, 33.0, 11.0, 32.0, 5.0, 17.0, 83.0, 43.0, 7.0, 46.0, 40.0, 39.0, 9.0, 50.0, 21.0, 5.0, 11.0, 1.0, 47.0, 27.0, 26.0, 5.0, 9.0, 4.0, 12.0, 3.0, 43.0, 9.0, 16.0, 24.0, 21.0, 15.0, 40.0, 18.0, 80.0, 13.0, 2.0, 3.0, 11.0, 20.0, 3.0, 12.0, 18.0, 8.0, 13.0, 4.0, 12.0, 3.0, 34.0, 3.0, 26.0, 2.0, 36.0, 1.0, 16.0, 10.0, 22.0, False]|None
20|cs|50|0.4|normal|50|30|0|0.010979175567626953|[16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 4, 4, 4, 4, 4, 2, 2, 1, 1, 1, 1]|[17.0, 19.0, 39.0, 35.0, 44.0, 27.0, 48.0, 36.0, 19.0, 30.0, 40.0, 64.0, 19.0, 21.0, 40.0, 46.0, 46.0, 40.0, 26.0, 50.0, 17.0, 47.0, 27.0, 26.0, 18.0, 43.0, 16.0, 24.0, 32.0, 21.0, 33.0, 22.0, 80.0, 17.0, 16.0, 19.0, 83.0, 18.0, 28.0, 24.0, 34.0, 42.0, 16.0, 18.0, 43.0, 22.0, False, 8.0, 8.0, 10.0, 8.0, 15.0, 9.0, 14.0, 9.0, 8.0, 10.0, False, 4.0, 4.0, 6.0, 5.0, False, 2.0, False, 1.0, 1.0, 1.0, False]
21|ff|50|0.5|normal|50|30|-10|0.011975765228271484|[25.0, 7.0, 16.0, 5.0, 12.0, 37.0, 4.0, 10.0, 18.0, 14.0, 12.0, 14.0, 14.0, 1.0, 20.0, 23.0, 1.0, 23.0, 6.0, 20.0, 1.0, 43.0, 3.0, 21.0, 3.0, 8.0, 20.0, 16.0, 28.0, 4.0, 16.0, 7.0, 13.0, 3.0, 20.0, 30.0, 5.0, 15.0, 1.0, 42.0, 4.0, 28.0, 3.0, 2.0, 2.0, 3.0, 23.0, 3.0, 25.0, 9.0, False]|None
21|cs|50|0.5|normal|50|30|-10|0.010979890823364258|[16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 8, 8, 8, 8, 8, 4, 4, 4, 4, 4, 4, 4, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1]|[25.0, 28.0, 16.0, 17.0, 37.0, 23.0, 18.0, 19.0, 40.0, 18.0, 23.0, 21.0, 43.0, 17.0, 18.0, 16.0, 28.0, 21.0, 30.0, 20.0, 16.0, 42.0, 20.0, 23.0, 25.0, False, 14.0, 10.0, 8.0, 9.0, False, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, False, 2.0, 2.0, 2.0, 3.0, False, 1.0, 1.0, 1.0, 1.0, 1.0, False]
22|ff|50|0.5|normal|50|30|10|0.009003877639770508|[47.0, 24.0, 66.0, 19.0, 72.0, 11.0, 70.0, 1.0, 4.0, 56.0, 47.0, 15.0, 58.0, 66.0, 54.0, 19.0, 3.0, 23.0, 51.0, 12.0, 2.0, 77.0, 1.0, 29.0, 71.0, 23.0, 26.0, 87.0, 8.0, 69.0, 8.0, 46.0, 1.0, 24.0, 23.0, 4.0, 53.0, 57.0, 66.0, 13.0, 16.0, 16.0, 59.0, 52.0, 83.0, 2.0, 16.0, 31.0, 14.0, 14.0, 88.0, 92.0, 28.0, 4.0, 13.0, 6.0, 27.0, 2.0, 14.0, 53.0, 3.0, 54.0, False]|None
