iter|name|node_count|density|distribution_name|mean|std|skewness|execution_time|Deltas|deltas
10|cs_bfs|25|0.6|normal|50|30|10|0.0|[32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 16, 16, 16, 8, 8, 4, 4, 2, 1]|[55.0, 66.0, 51.0, 56.0, 115.0, 83.0, 48.0, 78.0, 85.0, 68.0, 55.0, 53.0, 50.0, 39.0, False, 21.0, 20.0, False, 8.0, False, 7.0, False, False, False]
10|cs_dfs|25|0.6|normal|50|30|10|0.0|[32.0, 16, 8, 4, 2, 1]|[False, False, False, False, False, False]
11|cs_bfs|25|0.6|normal|50|30|0|0.0|[16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 8, 8, 8, 4, 2, 2, 1]|[65.0, 25.0, 50.0, 36.0, 46.0, 53.0, 67.0, 63.0, 43.0, 25.0, 56.0, 26.0, 18.0, 30.0, 18.0, 32.0, False, 9.0, 13.0, False, False, 2.0, False, False]
11|cs_dfs|25|0.6|normal|50|30|0|0.0|[16.0, 8, 4, 2, 1]|[False, False, False, False, False]
12|cs_bfs|25|0.8|normal|50|30|-10|0.0|[8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 4, 4, 4, 2, 2, 1]|[23.0, 17.0, 32.0, 8.0, 32.0, 16.0, 29.0, 24.0, 14.0, 15.0, 25.0, 11.0, 9.0, 23.0, 10.0, 15.0, 14.0, 20.0, 12.0, 12.0, False, 4.0, 5.0, False, 2.0, False, False]
12|cs_dfs|25|0.8|normal|50|30|-10|0.0|[8.0, 4, 2, 1]|[False, False, False, False]
13|cs_bfs|25|0.8|normal|50|30|10|0.0|[16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 8, 4, 4, 4, 2, 1]|[81.0, 51.0, 69.0, 59.0, 65.0, 64.0, 71.0, 58.0, 22.0, 54.0, 29.0, 17.0, 17.0, 37.0, 23.0, False, False, 7.0, 7.0, False, False, False]
13|cs_dfs|25|0.8|normal|50|30|10|0.0|[16.0, 8, 4, 2, 1]|[False, False, False, False, False]
14|cs_bfs|25|0.8|normal|50|30|0|0.0|[16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 8, 8, 4, 4, 4, 2, 2, 1]|[86.0, 45.0, 33.0, 55.0, 19.0, 20.0, 40.0, 90.0, 22.0, False, 10.0, False, 4.0, 6.0, False, 2.0, False, False]
14|cs_dfs|25|0.8|normal|50|30|0|0.0|[16.0, 8, 4, 2, 1]|[False, False, False, False, False]
15|cs_bfs|50|0.2|normal|50|30|-10|0.0|[16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 4, 4, 4, 4, 4, 4, 4, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1]|[17.0, 42.0, 35.0, 39.0, 35.0, 29.0, 35.0, 29.0, 17.0, 17.0, 17.0, 36.0, 37.0, 31.0, 23.0, 19.0, 45.0, 26.0, 28.0, 30.0, 16.0, 19.0, 16.0, 29.0, 33.0, 25.0, 18.0, 22.0, 38.0, 31.0, 20.0, 34.0, False, 8.0, 10.0, 10.0, 8.0, 10.0, 14.0, 9.0, 9.0, 9.0, False, 6.0, 4.0, 4.0, 4.0, 7.0, 4.0, 5.0, False, 2.0, 2.0, 2.0, 3.0, 3.0, 3.0, 2.0, 2.0, False, 1.0, 1.0, False]
15|cs_dfs|50|0.2|normal|50|30|-10|0.0|[16.0, 8, 4, 2, 1]|[False, False, False, False, False]
16|cs_bfs|50|0.2|normal|50|30|10|0.015618085861206055|[16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 8, 8, 8, 8, 8, 8, 8, 8, 8, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 2, 1, 1, 1, 1]|[57.0, 63.0, 54.0, 79.0, 53.0, 57.0, 62.0, 52.0, 68.0, 79.0, 62.0, 50.0, 50.0, 68.0, 85.0, 51.0, 65.0, 60.0, 87.0, 56.0, 60.0, 66.0, 65.0, 104.0, 61.0, 51.0, 55.0, 76.0, 19.0, 43.0, 25.0, 78.0, 49.0, 23.0, 38.0, 25.0, 66.0, 22.0, 17.0, 56.0, 19.0, 47.0, 16.0, 75.0, 20.0, 58.0, 18.0, False, 8.0, 9.0, 10.0, 8.0, 12.0, 11.0, 9.0, 8.0, False, 5.0, 6.0, 5.0, 6.0, 6.0, 6.0, 4.0, 5.0, 4.0, False, 3.0, False, 1.0, 1.0, 1.0, False]
16|cs_dfs|50|0.2|normal|50|30|10|0.0|[16.0, 8, 4, 2, 1]|[False, False, False, False, False]
17|cs_bfs|50|0.2|normal|50|30|0|0.01560211181640625|[16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 8, 8, 8, 8, 8, 4, 4, 4, 4, 4, 2, 2, 2, 2, 1, 1]|[71.0, 44.0, 50.0, 55.0, 67.0, 36.0, 26.0, 92.0, 60.0, 43.0, 42.0, 57.0, 16.0, 38.0, 65.0, 38.0, 48.0, 36.0, 26.0, 20.0, 42.0, 21.0, 46.0, 16.0, 43.0, 18.0, 18.0, 28.0, 27.0, 23.0, 27.0, 18.0, 20.0, 31.0, 29.0, 44.0, 17.0, 67.0, 17.0, False, 9.0, 10.0, 8.0, 10.0, False, 7.0, 6.0, 6.0, 5.0, False, 2.0, 2.0, 2.0, False, 1.0, False]
17|cs_dfs|50|0.2|normal|50|30|0|0.0|[16.0, 8, 4, 2, 1]|[False, False, False, False, False]
18|cs_bfs|50|0.4|normal|50|30|-10|0.0|[16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 8, 8, 8, 8, 8, 8, 8, 8, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1]|[49.0, 31.0, 24.0, 37.0, 38.0, 34.0, 28.0, 39.0, 31.0, 23.0, 20.0, 24.0, 23.0, 20.0, 22.0, 22.0, 19.0, 16.0, 16.0, 25.0, 37.0, 42.0, False, 10.0, 8.0, 8.0, 9.0, 8.0, 13.0, 10.0, False, 6.0, 6.0, 4.0, 6.0, 4.0, 6.0, 5.0, 4.0, 6.0, 6.0, 5.0, False, 2.0, 2.0, 2.0, False, 1.0, 1.0, 1.0, 1.0, 1.0, False]
18|cs_dfs|50|0.4|normal|50|30|-10|0.0|[16.0, 8, 4, 2, 1]|[False, False, False, False, False]
19|cs_bfs|50|0.4|normal|50|30|10|0.015622138977050781|[32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 16, 16, 16, 16, 16, 16, 16, 8, 8, 8, 8, 8, 8, 8, 4, 4, 4, 4, 4, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1]|[61.0, 58.0, 75.0, 61.0, 59.0, 55.0, 58.0, 60.0, 66.0, 56.0, 51.0, 54.0, 57.0, 57.0, 70.0, 51.0, 56.0, 58.0, 66.0, 71.0, 49.0, 55.0, 55.0, 56.0, 55.0, 60.0, 48.0, 54.0, 62.0, 52.0, 72.0, 63.0, 60.0, 49.0, 66.0, 34.0, False, 23.0, 17.0, 17.0, 17.0, 17.0, 16.0, False, 11.0, 9.0, 10.0, 12.0, 14.0, 11.0, False, 4.0, 4.0, 4.0, 6.0, False, 2.0, 2.0, 3.0, 2.0, 3.0, 3.0, False, 1.0, 1.0, 1.0, 1.0, False]
19|cs_dfs|50|0.4|normal|50|30|10|0.0|[32.0, 16, 8, 4, 2, 1]|[False, False, False, False, False, False]
20|cs_bfs|50|0.4|normal|50|30|0|0.0|[32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 8, 8, 8, 8, 8, 8, 4, 4, 4, 4, 4, 4, 4, 4, 2, 2, 2, 1, 1, 1]|[48.0, 48.0, 46.0, 57.0, 42.0, 59.0, 85.0, 59.0, 57.0, 75.0, 60.0, 40.0, 82.0, 81.0, 42.0, 33.0, 62.0, 32.0, 46.0, 46.0, 38.0, 39.0, 37.0, 36.0, 43.0, 43.0, 37.0, 75.0, 81.0, 39.0, 40.0, False, 30.0, 19.0, 24.0, 29.0, 23.0, 23.0, 26.0, 19.0, 31.0, 25.0, 16.0, 19.0, 19.0, False, 14.0, 8.0, 12.0, 13.0, 9.0, False, 6.0, 4.0, 5.0, 4.0, 7.0, 5.0, 5.0, False, 2.0, 3.0, False, 1.0, 1.0, False]
20|cs_dfs|50|0.4|normal|50|30|0|0.0|[32.0, 16, 8, 4, 2, 1]|[False, False, False, False, False, False]
21|cs_bfs|50|0.5|normal|50|30|-10|0.0|[16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 8, 8, 8, 8, 8, 8, 4, 4, 4, 2, 2, 1, 1, 1]|[36.0, 37.0, 18.0, 24.0, 35.0, 19.0, 26.0, 29.0, 16.0, 18.0, 21.0, 27.0, 21.0, 20.0, 23.0, 17.0, 20.0, 21.0, 18.0, 18.0, 26.0, False, 11.0, 8.0, 9.0, 8.0, 10.0, False, 6.0, 4.0, False, 3.0, False, 1.0, 1.0, False]
21|cs_dfs|50|0.5|normal|50|30|-10|0.0|[16.0, 8, 4, 2, 1]|[False, False, False, False, False]
22|cs_bfs|50|0.5|normal|50|30|10|0.015609979629516602|[32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 16, 16, 16, 16, 16, 16, 8, 8, 8, 8, 8, 4, 4, 4, 4, 4, 2, 2, 1, 1, 1]|[50.0, 60.0, 56.0, 59.0, 77.0, 77.0, 57.0, 61.0, 61.0, 52.0, 51.0, 54.0, 66.0, 50.0, 58.0, 57.0, 63.0, 77.0, 35.0, 55.0, 51.0, 70.0, 34.0, 36.0, 41.0, 62.0, 68.0, 62.0, False, 22.0, 23.0, 16.0, 21.0, 27.0, False, 8.0, 8.0, 8.0, 8.0, False, 4.0, 4.0, 4.0, 7.0, False, 2.0, False, 1.0, 1.0, False]
22|cs_dfs|50|0.5|normal|50|30|10|0.0|[32.0, 16, 8, 4, 2, 1]|[False, False, False, False, False, False]
23|cs_bfs|50|0.5|normal|50|30|0|0.0|[16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 8, 8, 8, 8, 8, 4, 4, 4, 4, 4, 2, 2, 1, 1, 1, 1, 1]|[33.0, 27.0, 23.0, 39.0, 53.0, 35.0, 50.0, 22.0, 42.0, 42.0, 45.0, 33.0, 16.0, 37.0, 29.0, 32.0, 23.0, 20.0, 21.0, 19.0, 52.0, 24.0, 24.0, 28.0, 17.0, 17.0, 43.0, 17.0, 25.0, 21.0, 24.0, 75.0, 46.0, 32.0, 28.0, 30.0, 18.0, 25.0, 35.0, False, 9.0, 15.0, 8.0, 11.0, False, 6.0, 4.0, 5.0, 4.0, False, 2.0, False, 1.0, 1.0, 1.0, 1.0, False]
23|cs_dfs|50|0.5|normal|50|30|0|0.0|[16.0, 8, 4, 2, 1]|[False, False, False, False, False]
24|cs_bfs|50|0.6|normal|50|30|-10|0.0|[16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 8, 8, 8, 8, 4, 4, 4, 4, 4, 4, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1]|[20.0, 24.0, 18.0, 36.0, 22.0, 29.0, 28.0, 21.0, 41.0, 23.0, 18.0, 36.0, 19.0, 25.0, 20.0, 34.0, 23.0, 18.0, 18.0, 20.0, 18.0, 24.0, 26.0, False, 11.0, 10.0, 8.0, False, 4.0, 5.0, 4.0, 6.0, 7.0, False, 2.0, 3.0, 3.0, 3.0, 2.0, 2.0, 3.0, False, 1.0, False]
24|cs_dfs|50|0.6|normal|50|30|-10|0.0|[16.0, 8, 4, 2, 1]|[False, False, False, False, False]
25|cs_bfs|50|0.6|normal|50|30|10|0.015644550323486328|[32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 16, 16, 16, 16, 16, 16, 16, 16, 8, 8, 8, 8, 4, 4, 4, 2, 2, 2, 1]|[69.0, 60.0, 55.0, 71.0, 60.0, 48.0, 43.0, 73.0, 74.0, 53.0, 69.0, 50.0, 95.0, 55.0, 44.0, 49.0, 68.0, 46.0, 39.0, 54.0, 53.0, 84.0, 45.0, 71.0, 36.0, 60.0, False, 20.0, 28.0, 20.0, 24.0, 30.0, 18.0, 20.0, False, 8.0, 9.0, 10.0, False, 7.0, 4.0, False, 2.0, 2.0, False, False]
25|cs_dfs|50|0.6|normal|50|30|10|0.015657424926757812|[32.0, 16, 8, 4, 2, 1]|[False, False, False, False, False, False]
26|cs_bfs|50|0.6|normal|50|30|0|0.0|[32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 16, 16, 16, 16, 16, 16, 16, 16, 16, 8, 8, 8, 8, 8, 8, 4, 4, 4, 4, 2, 2, 2, 2, 1]|[59.0, 54.0, 45.0, 46.0, 47.0, 40.0, 44.0, 76.0, 36.0, 56.0, 43.0, 48.0, 58.0, 34.0, 32.0, 43.0, 63.0, 33.0, 61.0, 50.0, 36.0, 62.0, 33.0, False, 17.0, 17.0, 20.0, 26.0, 29.0, 20.0, 16.0, 19.0, False, 13.0, 9.0, 14.0, 8.0, 10.0, False, 4.0, 4.0, 7.0, False, 3.0, 3.0, 2.0, False, False]
26|cs_dfs|50|0.6|normal|50|30|0|0.0|[32.0, 16, 8, 4, 2, 1]|[False, False, False, False, False, False]
27|cs_bfs|50|0.8|normal|50|30|-10|0.0|[16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 8, 8, 8, 8, 8, 8, 8, 8, 4, 4, 4, 4, 4, 4, 2, 2, 2, 2, 2, 2, 1]|[42.0, 31.0, 43.0, 27.0, 38.0, 20.0, 23.0, 31.0, 34.0, 24.0, 30.0, 21.0, 32.0, 19.0, 18.0, 22.0, 28.0, 21.0, 18.0, 17.0, False, 12.0, 15.0, 9.0, 9.0, 8.0, 12.0, 14.0, False, 4.0, 4.0, 6.0, 5.0, 6.0, False, 2.0, 3.0, 3.0, 2.0, 2.0, False, False]
27|cs_dfs|50|0.8|normal|50|30|-10|0.0|[16.0, 8, 4, 2, 1]|[False, False, False, False, False]
28|cs_bfs|50|0.8|normal|50|30|10|0.015616416931152344|[32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 16, 16, 16, 16, 16, 16, 16, 8, 8, 8, 8, 8, 4, 4, 2, 1, 1]|[101.0, 75.0, 51.0, 68.0, 74.0, 60.0, 72.0, 49.0, 53.0, 63.0, 67.0, 58.0, 48.0, 77.0, 36.0, 37.0, 69.0, 56.0, 59.0, 46.0, False, 21.0, 16.0, 17.0, 22.0, 18.0, 23.0, False, 10.0, 12.0, 8.0, 10.0, False, 7.0, False, False, 1.0, False]
28|cs_dfs|50|0.8|normal|50|30|10|0.0|[32.0, 16, 8, 4, 2, 1]|[False, False, False, False, False, False]
